OBJECTID,STREET,LOCATION,TYPE,LANES,REASON,STATUS,START,END_,SOURCE,COMMENT,EVENT,created_date,last_edited_user,last_edited_date,created_user,REGION_CITY,AGO_USER,IS_DRILL,Shape__Length
12,OGIER ST,BETWEEN CALHOUN ST AND VANDERHORST ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/02 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/02 05:00:00+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,235.113498226216
14,ASHLEY AVE,BETWEEN BENNETT ST AND CALHOUN ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/02 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/02 05:00:00+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,189.007384840748
15,HAGOOD AVE,BETWEEN FISHBURNE ST AND LINE ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/02 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/02 05:00:00+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,234.19226537321
18,DRAKE ST,@ SOUTH ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/02 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/02 05:00:00+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,155.122878260033
19,S MARKET ST,BETWEEN MEETING ST AND E BAY ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/02 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/02 05:00:00+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,350.731801030563
20,COMING ST,BETWEEN BEAUFAIN ST AND WENTWORTH ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/02 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/02 05:00:00+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,148.81836361149
21,AMERICA ST,BETWEEN SOUTH ST AND REID ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,FLOOD,NO MAP,2015/10/02 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/02 05:00:00+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,83.478425461019
23,BENNETT ST,BETWEEN ASHLEY AVE AND RUTLEDGE AVE,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/02 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/02 05:00:00+00,HAUCKR,2018/04/06 13:40:17+00,,,,No,441.982568278116
24,S MARKET ST,BETWEEN MEETING ST AND E BAY ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/02 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/02 05:00:00+00,HAUCKR,2018/04/06 13:40:17+00,,,,No,217.153574775675
28,PINCKNEY ST,BETWEEN MEETING ST AND CHURCH ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:17+00,,,,No,216.80202492608
30,CALHOUN ST,BETWEEN ELIZABETH ST AND E BAY ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:17+00,,,,No,275.735644448583
32,VANDERHORST ST,BETWEEN RUTLEDGE AVE AND COMING ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:17+00,,,,No,547.798556561633
36,ASHLEY RIVER BRIDGE,EASTBOUND,CLOSED,LANES PARTIALLY BLOCKED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:17+00,,,,No,1790.7237187655
37,AIKEN ST,BETWEEN LEE ST AND COLUMBUS ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 05:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2021/09/27 18:56:59+00,,,,No,473.257306222455
50,HASELL ST,BETWEEN MEETING ST AND WASHINGTON ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:17+00,,,,No,513.851522972909
55,BEAUFAIN ST,BETWEEN ASHLEY AVE AND SMITH ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:17+00,,,,No,344.364133774744
57,E BAY ST,BETWEEN SOCIETY ST AND HASELL ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:18+00,,,,No,204.729914890606
58,MORRIS ST,BETWEEN COMING ST AND SMITH ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:18+00,,,,No,302.818646393255
59,SPRING ST,BETWEEN COURTENAY DR AND HAGOOD AVE,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:18+00,,,,No,180.901209071724
68,CANNON ST,@ PRESIDENT ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:18+00,,,,No,135.127948448579
79,BEAUFAIN ST,BETWEEN LOCKWOOD DR AND COMING ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:18+00,,,,No,357.83427861491
80,CALHOUN ST,BETWEEN ELIZABETH ST AND MEETING ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:18+00,,,,No,326.638927222304
81,SC30,BETWEEN LOCKWOOD DR AND HARBOR VIEW RD,CLOSED,NORTHBOUND CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:18+00,,,,No,4309.55418421421
87,RUTLEDGE AVE,BETWEEN FISHBURNE ST AND SHEPPARD ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:19+00,,,,No,109.089929434562
88,RUTLEDGE AVE,BETWEEN CALHOUN ST AND BENNETT ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:19+00,,,,No,182.988358353794
92,CALHOUN ST,@ RUTLEDGE AVE,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:19+00,,,,No,244.744256741732
99,CALHOUN ST,BETWEEN JONATHAN LUCAS ST AND ASHLEY AVE,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/03 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/03 05:00:00+00,HAUCKR,2018/04/06 13:40:19+00,,,,No,238.19622866312
105,MONTAGU ST,BETWEEN LOCKWOOD DR AND BARRE ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/04 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/04 05:00:00+00,HAUCKR,2018/04/06 13:40:19+00,,,,No,224.295979976527
111,S MARKET ST,BETWEEN E BAY ST CONCORD ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/04 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/04 05:00:00+00,HAUCKR,2018/04/06 13:40:19+00,,,,No,156.304490711509
120,GADSDEN ST,BETWEEN CALHOUN ST AND BULL ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/04 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/04 05:00:00+00,HAUCKR,2018/04/06 13:40:20+00,,,,No,354.672565282303
121,PRESIDENT ST,BETWEEN FISHBURNE ST AND SEPTIMA P CLARK PKWY,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/04 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/04 05:00:00+00,HAUCKR,2018/04/06 13:40:20+00,,,,No,489.704269683057
122,SMITH ST,BETWEEN MORRIS ST AND RADCLIFFE ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/04 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/04 05:00:00+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 21:14:57+00,,,,No,154.569068734858
131,GADSDEN ST,BETWEEN CALHOUN ST AND BENNETT ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/05 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/05 05:00:00+00,HAUCKR,2018/04/06 13:40:20+00,,,,No,204.406100574083
138,BEAUFAIN ST,BETWEEN RUTLEDGE AVE AND SMITH ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/05 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/05 05:00:00+00,HAUCKR,2018/04/06 13:40:20+00,,,,No,172.35775605181
140,S MARKET ST,BETWEEN CHURCH ST AND E BAY ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2016/09/14 17:15:00+00,,Charleston PD,,TS JULIA,2015/10/05 05:00:00+00,HAUCKR,2018/04/06 13:40:20+00,,,,No,128.755703881251
144,SOUTH ST,BETWEEN AMERICA ST AND DRAKE ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/05 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/05 05:00:00+00,HAUCKR,2018/04/06 13:40:20+00,,,,No,175.417631620826
148,ASHLEY AVE,BETWEEN BENNETT ST AND CALHOUN ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/05 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/05 05:00:00+00,HAUCKR,2018/04/06 13:40:20+00,,,,No,188.640810793689
150,AMERICA ST,BETWEEN SOUTH ST AND REID ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/05 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/05 05:00:00+00,HAUCKR,2018/04/06 13:40:20+00,,,,No,83.478425461019
154,BARRE ST,BETWEEN MONTAGU ST AND BEAUFAIN ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/05 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/05 05:00:00+00,HAUCKR,2018/04/06 13:40:20+00,,,,No,296.661816534993
162,SMITH ST,BETWEEN BEAUFAIN ST AND QUEEN ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/06 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/06 05:00:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,241.015253583361
163,DRAKE ST,BETWEEN REID ST AND CHAPEL ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/06 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/06 05:00:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,420.824611627143
164,ASHLEY AVE,@ FISHBURNE ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/09 00:00:00+00,,Charleston PD,,FLOOD 10/9/2015,2015/10/09 05:00:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,120.377303391245
166,FISHBURNE ST,@ ASHLEY AVE,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/09 00:00:00+00,,Public Service - Engineering,Road Collapse - Crews are on scene,FLOOD 10/9/2015,2015/10/09 05:00:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,120.377303391245
170,DRAKE ST,BETWEEN SOUTH ST AND CHAPEL ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/27 07:41:00+00,2015/10/27 13:38:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/27 12:41:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,334.01160309404
172,AMERICA ST,BETWEEN LEE ST AND COOPER ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/27 08:05:00+00,2015/10/27 13:09:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/27 13:05:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,123.262523778168
173,CHERRY ST,BETWEEN BEE ST AND CANNON ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/27 08:05:00+00,2015/10/27 13:42:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/27 13:05:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,137.646474071752
174,HAGOOD AVE,@ FISHBURNE ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/27 08:05:00+00,2015/10/27 13:38:00+00,Charleston PD,Intersection flooded,FLOOD 10/27/2015 - 10/28/2105,2015/10/27 13:05:00+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 20:04:53+00,,,,No,74.5167082661862
175,CALHOUN ST,BETWEEN JONATHAN LUCAS ST AND LOCKWOOD RD,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,FLOOD,NO MAP,2015/10/27 08:32:00+00,2015/10/27 11:49:00+00,Charleston PD,Center lane passable,FLOOD 10/27/2015 - 10/28/2105,2015/10/27 13:32:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,311.245507212885
179,LOCKWOOD DR RAMP,BETWEEN US17 N AND LOCKWOOD DR,CLOSED,SOUTHBOUND CLOSED,FLOOD,NO MAP,2015/10/27 09:48:00+00,2015/10/27 09:48:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/27 14:48:00+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 20:48:02+00,,,,No,349.841027216272
180,LOCKWOOD DR RAMP,BETWEEN US17 N AND LOCKWOOD DR,CLOSED,SOUTHBOUND CLOSED,FLOOD,NO MAP,2015/10/27 09:48:00+00,2015/10/27 09:48:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/27 14:48:00+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 20:48:05+00,,,,No,349.841027216272
182,HANOVER ST,BETWEEN LEE ST AND COOPER ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/28 05:00:00+00,2015/10/28 14:07:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/28 05:00:00+00,HAUCKR,2021/09/27 18:56:16+00,,,,No,127.896983759068
183,AMERICA ST,BETWEEN SOUTH ST AND REID ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/28 08:10:00+00,2015/10/28 12:10:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/28 05:00:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,83.478425461019
184,S MARKET ST,BETWEEN MEETING ST AND E BAY ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/28 00:00:00+00,2015/10/28 11:00:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/28 05:00:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,217.153574775675
185,HAGOOD AVE,BETWEEN FISHBURNE ST AND LINE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,FLOOD,NO MAP,2015/10/28 00:00:00+00,2015/10/28 14:07:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/28 05:00:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,234.19226537321
186,S MARKET ST,BETWEEN MEETING ST AND E BAY ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/28 00:00:00+00,2015/10/28 11:00:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/28 05:00:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,350.731801030563
187,E BAY ST,@ N MARKET ST,CLOSED - PARTIAL,NORTHBOUND CLOSED,FLOOD,NO MAP,2015/10/28 00:00:00+00,2015/10/28 10:45:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/28 05:00:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,100.947534499279
189,AMERICA ST,BETWEEN LEE ST AND COOPER ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/28 07:56:00+00,2015/10/28 12:15:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/28 12:56:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,123.262523778168
192,S MARKET ST,BETWEEN CHURCH ST AND E BAY ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/28 08:20:00+00,2015/10/28 11:00:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/28 13:20:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,262.33393013614
193,AMERICA ST,BETWEEN AMHERST ST AND REID ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/28 08:23:00+00,,Charleston PD,Tidal,FLOOD 10/27/2015 - 10/28/2105,2015/10/28 13:23:00+00,HAUCKR,2018/04/06 13:40:21+00,,,,No,116.547180501425
194,N MARKET ST,BETWEEN CONCORD ST AND E BAY ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/28 08:30:00+00,2015/10/28 10:30:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/28 13:30:00+00,HAUCKR,2018/04/06 13:40:22+00,,,,No,164.191515813292
195,WASHINGTON ST,BETWEEN HASELL ST AND LAURENS ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/28 08:40:00+00,2015/10/28 12:00:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/28 13:40:00+00,HAUCKR,2018/04/06 13:40:22+00,,,,No,353.361622007984
196,HAGOOD AVE,BETWEEN FISHBURNE ST AND LINE ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/28 08:43:00+00,,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/28 13:43:00+00,HAUCKR,2018/04/06 13:40:22+00,,,,No,234.19226537321
198,CONCORD ST,BETWEEN CUMBERLAND ST AND VENDUE RANGE,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/28 08:53:00+00,2015/10/28 10:17:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/28 13:53:00+00,HAUCKR,2018/04/06 13:40:22+00,,,,No,236.525688613821
204,ASHLEY AVE,BETWEEN BENNETT ST AND HALSEY ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/28 09:30:00+00,,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/28 14:30:00+00,HAUCKR,2018/04/06 13:40:22+00,,,,No,94.4768662947102
208,SOUTH ST,BETWEEN AMERICA ST AND DRAKE ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/28 12:18:00+00,2015/10/28 02:45:00+00,Charleston PD,,FLOOD 10/27/2015 - 10/28/2105,2015/10/28 17:18:00+00,HAUCKR,2018/04/06 13:40:22+00,,,,No,175.417631620826
209,GADSDEN ST,BETWEEN CALHOUN ST AND BENNETT ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/11/03 00:00:00+00,2015/11/03 14:33:00+00,Charleston PD,,FLOOD 11/3/2015,2015/11/03 05:00:00+00,HAUCKR,2018/04/06 13:40:22+00,,,,No,204.406100574083
210,RUTLEDGE AVE,BETWEEN CALHOUN ST AND BENNETT ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/11/03 00:00:00+00,2015/11/03 14:33:00+00,Charleston PD,,FLOOD 11/3/2015,2015/11/03 05:00:00+00,HAUCKR,2018/04/06 13:40:22+00,,,,No,182.988358353794
211,ASHLEY AVE,BETWEEN BENNETT ST AND HALSEY ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/11/03 07:37:00+00,,Charleston PD,,FLOOD 11/3/2015,2015/11/03 12:37:00+00,HAUCKR,2018/04/06 13:40:22+00,,,,No,94.4768662947102
213,OGIER ST,BETWEEN CALHOUN ST AND VANDERHORST ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/11/03 07:37:00+00,2015/11/03 09:10:00+00,Charleston PD,,FLOOD 11/3/2015,2015/11/03 12:37:00+00,HAUCKR,2018/04/06 13:40:22+00,,,,No,235.113498226216
214,S MARKET ST,BETWEEN MEETING ST AND E BAY ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/11/03 14:33:00+00,2015/11/03 15:30:00+00,Charleston PD,,FLOOD 11/3/2015,2015/11/03 19:33:00+00,HAUCKR,2018/04/06 13:40:22+00,,,,No,350.731801030563
215,BENNETT ST,BETWEEN ASHLEY AVE AND RUTLEDGE AVE,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/11/09 00:00:00+00,2015/11/09 00:00:00+00,Charleston PD,,FLOOD 11/9/2015,2015/11/09 05:00:00+00,HAUCKR,2018/04/06 13:40:22+00,,,,No,441.982568278116
216,DRAKE ST,BETWEEN SOUTH ST AND CHAPEL ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/11/09 00:00:00+00,2015/11/09 13:05:00+00,Charleston PD,,FLOOD 11/9/2015,2015/11/09 05:00:00+00,HAUCKR,2018/04/06 13:40:22+00,,,,No,334.01160309404
217,CHERRY ST,BETWEEN BEE ST AND CANNON ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/11/09 05:42:00+00,2015/11/09 16:26:00+00,Charleston PD,,FLOOD 11/9/2015,2015/11/09 10:42:00+00,HAUCKR,2018/04/06 13:40:22+00,,,,No,137.646474071752
